timestamp,t_hours,temperature_c,ph,ph_true,do_percent,biomass_gL,substrate_gL,product_titer_gL,feed_rate_Lh
2026-01-01 00:00:00.000000000,0.0,35.015,6.802,6.802,64.533,2.1057,7.7688,0.1342,0.4937
2026-01-01 00:01:00.000000001,0.0167,34.952,6.7705,6.7705,63.571,1.9873,8.0307,0.0497,0.4524
2026-01-01 00:01:59.999999998,0.0333,35.045,6.8032,6.8032,65.478,2.0343,7.8816,0.1544,0.531
2026-01-01 00:03:00.000000000,0.05,35.059,6.7826,6.7826,64.853,2.0382,8.1208,0.1328,0.4713
2026-01-01 00:04:00.000000001,0.0667,34.918,6.7929,6.7929,65.052,2.0185,8.072,0.1929,0.4836
2026-01-01 00:04:59.999999998,0.0833,34.955,6.8231,6.8231,65.641,1.9057,8.0497,0.1286,0.4748
2026-01-01 00:06:00.000000000,0.1,35.03,6.8121,6.8121,64.87,1.8128,7.744,0.0841,0.526
2026-01-01 00:07:00.000000001,0.1167,35.012,6.8144,6.8144,65.059,1.9456,7.967,0.0805,0.5084
2026-01-01 00:07:59.999999998,0.1333,35.031,6.7681,6.7681,65.233,2.1604,7.8035,0.0932,0.4905
2026-01-01 00:09:00.000000000,0.15,34.993,6.8407,6.8407,66.528,2.1654,7.9721,0.0809,0.4891
2026-01-01 00:10:00.000000001,0.1667,35.083,6.7805,6.7805,65.416,1.9979,7.6278,0.1745,0.5036
2026-01-01 00:10:59.999999998,0.1833,35.082,6.8354,6.8354,64.442,1.9442,7.7415,0.1717,0.4751
2026-01-01 00:12:00.000000000,0.2,35.05,6.8257,6.8257,64.513,2.0449,8.1485,0.0338,0.5076
2026-01-01 00:13:00.000000001,0.2167,35.107,6.8172,6.8172,65.619,2.0597,8.023,0.1113,0.489
2026-01-01 00:13:59.999999998,0.2333,35.078,6.789,6.789,64.643,2.0746,7.9121,0.1132,0.5104
2026-01-01 00:15:00.000000000,0.25,35.015,6.8096,6.8096,64.335,1.8262,7.8264,0.0717,0.5097
2026-01-01 00:16:00.000000001,0.2667,35.081,6.7975,6.7975,66.132,2.2829,7.7976,0.1334,0.4881
2026-01-01 00:16:59.999999998,0.2833,35.018,6.808,6.808,66.21,2.1228,7.9878,0.1853,0.4589
2026-01-01 00:18:00.000000000,0.3,35.114,6.8028,6.8028,65.406,2.0183,7.9038,0.1576,0.4951
2026-01-01 00:19:00.000000001,0.3167,35.071,6.7675,6.7675,65.973,1.9786,8.1849,0.1811,0.471
2026-01-01 00:19:59.999999998,0.3333,35.068,6.8311,6.8311,65.927,2.1169,7.9227,0.0785,0.5016
2026-01-01 00:21:00.000000000,0.35,35.047,6.8075,6.8075,66.296,2.0795,7.9568,0.117,0.4949
2026-01-01 00:22:00.000000001,0.3667,35.146,6.7998,6.7998,66.336,2.0492,7.7372,0.0776,0.4882
2026-01-01 00:22:59.999999998,0.3833,35.081,6.7988,6.7988,63.805,2.0804,7.8889,0.1286,0.4741
2026-01-01 00:24:00.000000000,0.4,35.071,6.8176,6.8176,65.735,2.0366,7.9671,0.1338,0.5237
2026-01-01 00:25:00.000000001,0.4167,35.078,6.7929,6.7929,66.379,2.0797,7.8822,0.1661,0.4909
2026-01-01 00:25:59.999999998,0.4333,35.126,6.7661,6.7661,65.673,2.1076,7.8629,0.1845,0.5471
2026-01-01 00:27:00.000000000,0.45,35.122,6.8198,6.8198,66.067,2.0789,7.9823,0.154,0.5007
